key,data,custom_rotated,bounding_box_custom,n_generated,bounding_box_generated,n_data,val_perc,val_cust_only,train_model,train_epochs,train_pretrained_weights,train_multiscale_training,train_iou_thres,train_conf_thres,train_nms_thres,seed,training_time,ev_time,k_cross_val,n_not_annotated,sens,over_detecion_rate,no_hit_point_rate,ev_conf_thres,ev_nms_thres,accepted_dist
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,37,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/17s,1,53,0.5594470046082949,0.02119815668202765,0.30155210643015523,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,39,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/18s,1,53,0.620507399577167,0.017970401691331923,0.3303769401330377,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,41,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/17s,1,53,0.5218554861730598,0.012488849241748439,0.33592017738359203,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,43,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/18s,1,53,0.6804932735426009,0.016816143497757848,0.31042128603104213,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,45,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/17s,1,53,0.5434782608695652,0.021739130434782608,0.3370288248337029,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,47,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/18s,1,53,0.6797066014669927,0.017114914425427872,0.36807095343680707,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,49,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/18s,1,53,0.6082995951417004,0.020242914979757085,0.311529933481153,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,51,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/17s,1,53,0.3500897666068223,0.009575104727707959,0.33370288248337027,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,53,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/17s,1,53,0.7928902627511591,0.02627511591962906,0.4124168514412417,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,55,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/18s,1,53,0.5717926932880204,0.01784197111299915,0.23059866962305986,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,57,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/18s,1,53,0.6989795918367347,0.02040816326530612,0.37472283813747226,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,59,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/19s,1,53,0.6762013729977117,0.020594965675057208,0.32483370288248337,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,61,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/17s,1,53,0.7411764705882353,0.01568627450980392,0.3580931263858093,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,63,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/18s,1,53,0.719029374201788,0.019157088122605363,0.35920177383592017,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,65,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/17s,1,53,0.7011363636363637,0.025,0.2915742793791574,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,67,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/19s,1,53,0.6279508970727101,0.019830028328611898,0.2394678492239468,0.01,0.1,15
baseline_ckpts,config/custom_rot.data,True,0.06,,,1416,0.1,True,config/yolov3-tiny-custom.cfg,69,,True,0.5,0.1,0.5,42,0d/13h/15m/43s,0d/0h/0m/17s,1,53,0.7420584498094028,0.01905972045743329,0.33592017738359203,0.01,0.1,15
